"iter","ver1, 100k - _step","ver1, 100k - _step__MIN","ver1, 100k - _step__MAX","ver1, 100k - digit1_accuracy","ver1, 100k - digit1_accuracy__MIN","ver1, 100k - digit1_accuracy__MAX","ver1, 100k - digit2_accuracy","ver1, 100k - digit2_accuracy__MIN","ver1, 100k - digit2_accuracy__MAX","ver1, 100k - digit3_accuracy","ver1, 100k - digit3_accuracy__MIN","ver1, 100k - digit3_accuracy__MAX","ver1, 100k - digit4_accuracy","ver1, 100k - digit4_accuracy__MIN","ver1, 100k - digit4_accuracy__MAX","ver1, 100k - digit5_accuracy","ver1, 100k - digit5_accuracy__MIN","ver1, 100k - digit5_accuracy__MAX","ver1, 100k - digit6_accuracy","ver1, 100k - digit6_accuracy__MIN","ver1, 100k - digit6_accuracy__MAX","ver1, 100k - digit7_accuracy","ver1, 100k - digit7_accuracy__MIN","ver1, 100k - digit7_accuracy__MAX","ver1, 100k - digit8_accuracy","ver1, 100k - digit8_accuracy__MIN","ver1, 100k - digit8_accuracy__MAX"
"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"250","1","1","1","3","3","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"500","2","2","2","4","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"750","3","3","3","7.000000000000001","7.000000000000001","7.000000000000001","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1000","4","4","4","2","2","2","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1250","5","5","5","6","6","6","2","2","2","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"1500","6","6","6","10","10","10","6","6","6","5","5","5","0","0","0","1","1","1","0","0","0","0","0","0","0","0","0"
"1750","7","7","7","20","20","20","25","25","25","13","13","13","11","11","11","11","11","11","5","5","5","1","1","1","0","0","0"
"2000","8","8","8","37","37","37","52","52","52","28.999999999999996","28.999999999999996","28.999999999999996","22","22","22","24","24","24","13","13","13","3","3","3","0","0","0"
"2250","9","9","9","76","76","76","79","79","79","77","77","77","64","64","64","52","52","52","46","46","46","19","19","19","0","0","0"
"2500","10","10","10","86","86","86","96","96","96","90","90","90","80","80","80","78","78","78","69","69","69","47","47","47","0","0","0"
"2750","11","11","11","96","96","96","99","99","99","97","97","97","90","90","90","93","93","93","83","83","83","57.99999999999999","57.99999999999999","57.99999999999999","0","0","0"
"3000","12","12","12","96","96","96","99","99","99","94","94","94","99","99","99","96","96","96","89","89","89","75","75","75","0","0","0"
"3250","13","13","13","99","99","99","100","100","100","100","100","100","98","98","98","97","97","97","89","89","89","79","79","79","0","0","0"
"3500","14","14","14","100","100","100","99","99","99","99","99","99","98","98","98","97","97","97","89","89","89","82","82","82","0","0","0"
"3750","15","15","15","96","96","96","100","100","100","100","100","100","99","99","99","100","100","100","90","90","90","83","83","83","0","0","0"
"4000","16","16","16","100","100","100","100","100","100","100","100","100","100","100","100","98","98","98","98","98","98","87","87","87","0","0","0"
"4250","17","17","17","97","97","97","100","100","100","100","100","100","100","100","100","98","98","98","98","98","98","94","94","94","0","0","0"
"4500","18","18","18","100","100","100","100","100","100","99","99","99","100","100","100","99","99","99","95","95","95","91","91","91","0","0","0"
"4750","19","19","19","99","99","99","99","99","99","100","100","100","100","100","100","99","99","99","99","99","99","90","90","90","0","0","0"
"5000","20","20","20","99","99","99","100","100","100","100","100","100","100","100","100","100","100","100","99","99","99","96","96","96","0","0","0"
"5250","21","21","21","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","99","99","99","97","97","97","0","0","0"
"5500","22","22","22","100","100","100","100","100","100","100","100","100","100","100","100","99","99","99","100","100","100","98","98","98","0","0","0"
"5750","23","23","23","99","99","99","100","100","100","100","100","100","100","100","100","100","100","100","99","99","99","93","93","93","0","0","0"
"6000","24","24","24","95","95","95","100","100","100","93","93","93","100","100","100","100","100","100","99","99","99","99","99","99","0","0","0"
"6250","25","25","25","99","99","99","100","100","100","100","100","100","100","100","100","100","100","100","98","98","98","95","95","95","0","0","0"
"6500","26","26","26","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","97","97","97","97","97","97","0","0","0"
"6750","27","27","27","100","100","100","100","100","100","100","100","100","100","100","100","90","90","90","100","100","100","98","98","98","0","0","0"
"7000","28","28","28","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","99","99","99","0","0","0"
"7250","29","29","29","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","99","99","99","100","100","100","0","0","0"
"7500","30","30","30","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","98","98","98","99","99","99","0","0","0"
"7750","31","31","31","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","99","99","99","96","96","96","0","0","0"
"8000","32","32","32","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","0","0","0"
"8250","33","33","33","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","97","97","97","0","0","0"
"8500","34","34","34","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","100","0","0","0"
